n_features,noise,bias,X_mean,X_std,y_mean,y_std
11,23.896289605806984,-6.331304202676725,0.04453082197559724,1.0615007642524317,23.77066220632205,213.01651200250632
10,20.084608655945704,9.88278722442335,-0.03401243667661538,0.9862820148730223,-10.101239934941011,185.00155662878782
13,25.1940481999328,-6.229187885014977,8.04586487207742e-05,0.9914066578489961,-5.082534777057312,156.11573875160107
12,23.818054003555538,8.819846451488743,-0.029849116876744228,1.0023116715836549,3.7506702609691907,194.7227196339494
18,10.368811111084767,6.1540473808811385,-0.04187772667311252,1.021065729327048,-27.521753602599123,164.92157812611512
18,29.753366350040793,-5.462281703941104,-0.02400060684399452,1.0040271729999646,-30.006955686915727,179.83731012889947
12,6.548084485601583,-6.715178655536911,-0.02446544336906213,0.9713617309217616,-13.00420031657176,118.96111672460123
10,0.5769511037028052,-7.7559726646871425,-0.03217564556654491,0.9822197561837969,-21.059437279263374,180.05634088387595
18,7.254584469617455,0.7290251208446605,0.008819143214206585,0.9954700641952805,-12.181596332249047,135.01385406420573
7,23.24170287661804,3.4354545272445964,0.024337112437478957,1.0187021985299864,17.23072682906421,141.12145192256676
14,26.676806747549612,9.791265636582796,-0.004498899721083919,1.007866879904538,18.02439272740027,145.52566608584695
19,25.201770548287417,-7.012771051391374,-0.033324198729644774,0.9789217521617296,-39.76816344562567,179.12431307508177
8,21.319721312005697,2.8772647002086043,-0.018399502967927042,0.9906352034807808,-0.08505828891002214,157.64736651263834
6,19.385615520446446,-7.67962977441721,0.04530997838979045,0.984626169818611,10.663022851688856,160.08984424964504
9,11.825098515846694,8.921797015881832,0.008819135819899482,0.9764265902397107,32.019675877823815,147.33088199363058
16,5.444016566345149,-0.4716574735387091,0.051105262402958956,0.9827455451399864,7.951287414351908,184.02538674072147
18,25.15379515593206,-6.103284835987601,0.01641053332206065,1.0026806527340089,1.4810372988920948,193.2770276960541
10,9.162092504401706,-7.8801890310008265,-0.0031791072895233476,1.028961002342529,-5.188809170246244,181.0058284033405
18,4.73262346787862,-1.318551752264952,0.004964074850295179,0.9884246886687589,-11.196882749690722,115.41173583727627
13,14.222203821431286,-2.42155087935412,-0.005777879380803399,1.02209211528301,3.5281710681630822,210.69984337128454
18,25.69612570609769,-4.1464025619874185,-0.010923878742403373,0.9984177826980126,-19.306358110437518,179.503363204303
11,7.436108129123269,5.426464078647799,-0.020959345636194327,0.9625550726700266,13.834610509790641,116.81866765054339
12,6.975192672202001,-2.5264465965523586,0.04155167050735648,1.0429863845850953,21.566355653467443,170.69979762697767
5,29.05024787126579,-1.7987143472423384,-0.08707377592351788,1.0095371035333163,-41.38354373345711,165.29496018471457
13,6.500844496157851,7.593035734407966,0.03500557179777214,0.9695499068625526,45.23902534605828,152.76750800299013
12,22.335528558378773,-3.9270832123506016,0.018077405864085305,1.025957823139196,-0.3536679089890032,149.4543616041601
19,19.360885586014703,3.7217164104657776,-0.0074908700721000015,1.0215629410778206,3.722730315279033,227.00128559373704
10,29.829307622002744,-1.4406937293027866,0.05142094687187118,0.9934609501996691,35.77824265403169,208.83030814943996
14,24.191357681130746,-9.393456172645314,-0.010840471942884502,1.01116880414977,-23.987615663766274,166.56582133673032
8,22.498923556095722,4.375530490523596,0.03641692781133044,0.9992113228852232,19.771392202227684,132.34433238011454
14,9.641833042173214,-6.566045187436382,0.01972978338849064,0.9952910492913059,-3.0684853013769966,127.60406958743293
14,5.187424934161236,-5.778177562666055,-0.009036526874792436,0.9758609646342405,-17.50533151131972,126.69402821441052
16,10.645350615696866,-1.8816180576352455,0.0012065436367711113,1.006189827378301,12.964118515583055,165.40200899404334
18,26.382135790765627,9.553634956632322,-0.0232745976990596,0.9840692530604681,6.506171852900852,175.48041257213242
18,10.85409468308015,-4.790792830754375,0.028048828640458413,1.007673694561746,17.310089066868628,186.91647535603946
7,23.435404529867277,6.959979012991216,-0.011308096815715221,1.0303524094552148,6.132201734732968,125.05067903026581
13,3.0520290681279616,7.39453011906085,-0.004102755459550244,1.02278597165302,8.800297837005814,187.75420503085994
10,9.951993787313015,-3.92385127840988,-0.028855332828248353,1.0263641278850169,-9.162242887046835,186.3663253240214
